,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount,14agree-disagree
330,1,1,0,27,0,151,4,0,158,27,1,0,0,0,0,0,0,0,
331,3,3,0,39,3,257,14,4,280,39,1,0,0,0,2,2,0,0,1.0
332,4,2,2,25,1,133,17,0,150,25,1,6,0,0,0,0,1,0,1.0
333,4,3,1,42,0,284,11,0,296,42,0,0,0,0,0,0,1,0,1.0
334,10,1,0,97,0,477,16,3,499,97,1,0,1,1,0,0,1,0,1.0
335,1,0,0,13,2,41,9,0,56,13,5,0,1,1,0,0,0,0,
336,5,0,1,73,1,427,16,2,449,73,0,0,1,1,1,1,0,0,-1.0
337,6,9,0,100,3,550,32,8,606,100,9,0,3,3,2,2,0,0,
338,3,4,0,24,0,105,9,0,118,24,0,0,0,0,0,0,1,0,-1.0
339,1,1,3,28,0,118,8,4,135,28,1,0,0,0,0,0,0,0,-1.0
340,18,5,0,154,1,762,45,5,813,154,3,0,3,4,2,1,4,0,
341,0,0,0,6,0,26,0,0,26,6,0,0,0,0,0,0,0,0,1.0
342,2,5,0,81,0,413,18,2,438,81,2,0,1,1,0,0,0,0,-1.0
343,7,6,0,103,1,545,24,2,578,103,3,0,2,2,0,0,0,0,0.0
344,6,8,0,155,12,980,61,18,1074,155,8,0,0,0,15,9,0,0,-1.0
345,0,0,0,23,0,79,4,0,83,23,0,0,0,0,0,0,0,0,0.0
346,5,9,0,119,3,674,42,6,732,119,10,6,1,1,3,3,0,0,-1.0
347,8,8,0,63,0,368,23,0,393,63,0,0,0,0,1,0,1,0,
348,4,6,1,54,0,233,17,2,253,54,1,0,0,0,1,0,1,0,-1.0
349,1,6,0,56,1,309,11,2,326,56,1,0,0,0,1,1,0,0,
350,4,1,0,5,0,22,5,0,28,5,0,0,0,0,0,0,1,0,0.0
351,4,0,0,17,4,89,5,0,99,17,0,0,0,0,0,0,1,0,-1.0
352,4,3,0,25,1,124,10,0,133,25,0,0,0,0,0,0,1,0,-1.0
353,7,4,0,51,5,223,15,2,247,51,1,0,0,0,1,1,1,0,-1.0
354,1,1,1,14,0,55,3,0,60,14,0,0,0,0,0,0,0,0,1.0
355,7,7,0,119,2,659,42,5,718,119,6,6,4,4,0,0,0,0,1.0
356,5,8,0,137,1,750,44,0,798,137,9,6,3,3,0,0,1,0,-1.0
357,5,3,0,55,1,289,22,6,317,55,1,0,0,0,2,1,1,0,1.0
358,14,13,0,130,6,665,40,6,725,130,3,6,0,0,1,0,2,0,
359,2,2,0,29,2,166,21,10,201,29,1,0,0,0,5,5,0,0,1.0
360,1,2,0,16,0,96,4,0,100,16,0,0,0,0,0,0,0,0,
361,16,2,0,77,0,375,33,4,419,77,3,10,0,0,2,2,1,0,
362,5,13,0,156,2,909,40,3,961,156,12,0,0,0,3,0,0,0,
363,6,6,0,105,4,621,39,6,673,105,14,0,1,1,1,1,0,0,
364,9,6,0,104,0,563,35,10,612,104,3,0,1,1,4,3,1,0,
365,3,0,0,29,0,137,4,0,143,29,0,0,0,0,0,0,1,0,1.0
366,0,0,0,18,0,89,0,0,93,18,0,0,0,0,0,0,0,0,
367,3,2,0,32,0,156,5,0,164,32,0,0,0,0,0,0,1,0,-1.0
368,4,0,0,25,0,119,5,0,123,25,0,0,0,0,0,0,1,0,
369,0,2,0,25,0,124,7,0,128,25,2,0,0,0,0,0,0,0,
370,8,1,1,51,1,285,21,4,313,51,1,0,0,0,2,2,2,0,1.0
371,0,1,0,20,0,100,3,0,102,20,0,0,0,0,0,0,0,0,
372,5,1,0,62,1,306,19,2,326,62,0,6,1,1,1,1,1,0,-1.0
373,0,0,0,16,0,64,1,0,66,16,0,0,0,0,0,0,0,0,
374,0,0,0,4,0,15,0,0,16,4,0,0,0,0,0,0,0,0,-1.0
375,0,0,0,4,0,18,0,0,18,4,0,0,0,0,0,0,0,0,1.0
376,1,1,0,7,0,30,2,0,33,7,0,0,0,0,0,0,0,0,-1.0
377,3,0,0,15,0,52,3,0,55,15,0,0,0,0,0,0,1,0,-1.0
378,4,3,0,33,0,167,18,0,188,33,2,0,0,0,0,0,1,0,-1.0
379,0,0,0,2,0,12,0,0,13,2,0,0,0,0,0,0,0,0,-1.0
380,8,0,0,5,0,25,8,0,33,5,0,0,0,0,0,0,2,0,-1.0
381,3,1,0,8,0,42,4,0,47,8,0,0,0,0,0,0,1,0,-1.0
382,9,3,0,15,0,67,13,0,80,15,0,0,0,0,0,0,1,0,-1.0
383,6,1,0,45,0,195,12,4,212,45,0,0,0,0,0,0,2,0,0.0
384,0,0,0,6,0,21,1,0,21,6,0,0,0,0,0,0,0,0,-1.0
385,2,0,0,10,0,50,4,0,55,10,1,0,0,0,0,0,0,0,-1.0
386,2,2,0,29,0,147,10,0,155,29,1,0,0,0,0,0,0,0,1.0
387,0,0,4,14,0,64,5,0,70,14,1,0,0,0,0,0,0,0,1.0
388,3,1,0,31,12,98,10,2,126,31,0,0,0,0,1,1,0,0,-1.0
389,0,0,7,2,0,5,8,0,13,2,0,0,0,0,0,0,0,0,-1.0
390,4,0,0,23,0,114,5,0,122,23,0,0,0,0,0,0,0,0,
391,0,0,1,13,0,56,3,0,58,13,0,0,0,0,0,0,0,0,-1.0
392,1,2,0,18,5,92,4,0,103,18,1,0,0,0,0,0,0,0,-1.0
393,5,13,0,126,1,700,30,0,731,126,2,6,0,0,0,0,0,0,
394,0,1,6,31,1,142,9,0,154,31,0,0,0,0,0,0,0,0,
395,10,2,5,76,11,427,48,18,506,76,7,0,0,0,9,8,1,0,1.0
396,5,1,0,15,0,67,7,0,74,15,0,0,0,0,0,0,1,0,
397,3,1,0,29,0,126,6,0,133,29,0,0,0,0,0,0,1,0,1.0
398,3,2,0,16,0,64,5,3,73,16,0,0,0,0,0,0,1,0,
399,0,0,0,15,0,81,0,0,82,15,0,0,0,0,0,0,0,0,-1.0
400,6,8,0,67,4,374,33,4,412,67,7,0,0,0,4,2,1,0,-1.0
401,4,7,0,78,0,436,30,9,478,78,0,0,3,3,6,0,0,0,1.0
402,3,1,0,28,1,124,8,6,140,28,3,0,0,0,0,0,1,0,
403,5,8,0,100,0,538,21,2,564,100,0,0,0,0,5,0,0,0,0.0
404,10,5,0,27,1,87,39,21,149,27,1,6,0,1,4,3,2,0,
405,17,11,0,104,3,495,40,21,569,104,3,0,2,2,1,0,3,0,1.0
406,4,0,0,1,0,5,5,0,9,1,0,0,0,0,0,0,1,0,-1.0
407,3,0,0,14,0,56,6,0,63,14,0,0,0,1,0,0,1,0,1.0
408,1,0,0,32,0,156,2,0,159,32,0,0,0,0,0,0,0,0,1.0
409,1,1,0,24,0,124,4,0,129,24,0,0,1,1,0,0,0,0,
410,0,1,0,38,0,181,6,2,191,38,0,0,0,0,1,0,0,0,
411,0,0,0,24,0,117,7,2,127,24,0,0,1,1,1,0,0,0,-1.0
412,0,0,0,23,0,108,7,2,116,23,1,0,0,0,1,0,0,0,
413,0,1,0,8,0,43,6,0,47,8,3,0,0,0,0,0,0,0,
414,4,1,0,19,0,97,6,2,106,19,0,0,0,0,1,0,1,0,1.0
415,17,11,0,104,3,495,40,21,569,104,3,0,2,2,1,0,3,0,1.0
416,0,1,2,16,0,75,7,2,84,16,1,0,0,0,0,0,0,0,-1.0
417,4,4,0,114,1,718,25,2,745,114,2,6,2,2,1,0,0,0,-1.0
418,0,0,0,26,1,157,9,2,168,26,2,0,0,0,1,1,0,0,-1.0
419,0,3,0,38,0,208,5,2,215,38,1,0,0,0,0,0,0,0,
420,5,0,0,16,1,45,8,0,52,16,0,0,0,0,0,0,1,0,-1.0
421,0,1,0,7,0,33,2,0,36,7,0,0,0,0,0,0,0,0,1.0
422,1,0,0,14,0,56,3,0,59,14,1,0,0,0,0,0,0,0,-1.0
423,10,14,0,85,0,446,30,2,478,85,0,0,1,1,1,0,2,0,-1.0
424,0,0,0,7,0,30,1,0,31,7,0,0,0,0,0,0,0,0,
425,0,0,0,16,0,67,2,0,68,16,0,0,0,0,0,0,0,0,-1.0
426,12,0,0,38,0,221,18,0,237,38,2,0,0,0,0,0,4,0,-1.0
427,7,7,0,107,0,598,27,4,636,107,8,0,2,2,1,0,0,0,-1.0
428,5,0,0,5,0,32,6,0,40,5,1,0,0,0,0,0,1,0,-1.0
429,7,3,1,83,10,362,25,8,416,83,2,0,5,5,4,0,1,0,
430,6,4,0,69,1,329,17,3,351,69,2,0,1,1,0,0,1,0,-1.0
431,4,1,0,23,0,107,3,0,113,23,0,0,0,0,0,0,0,0,-1.0
432,0,0,0,8,0,34,0,0,35,8,0,0,0,0,0,0,0,0,1.0
433,0,1,0,13,0,68,1,0,69,13,0,0,0,0,0,0,0,0,1.0
434,0,1,0,15,0,60,3,0,63,15,1,0,0,0,0,0,0,0,-1.0
435,0,1,0,14,0,64,1,0,65,14,0,0,0,0,0,0,0,0,-1.0
436,1,0,0,12,0,61,4,0,65,12,1,0,0,0,1,0,0,0,1.0
437,2,4,1,43,0,184,10,0,194,43,1,0,0,0,0,0,0,0,-1.0
438,0,0,0,6,0,25,1,0,27,6,0,0,0,0,0,0,0,0,-1.0
439,2,0,0,9,0,32,5,0,39,9,0,0,0,1,0,0,0,0,0.0
440,3,1,0,29,1,136,7,0,146,29,0,0,0,0,1,0,1,0,-1.0
441,3,2,0,43,1,234,20,4,258,43,3,0,0,0,2,2,0,0,-1.0
442,1,2,0,21,0,106,5,0,112,21,0,0,0,0,0,0,0,0,-1.0
443,1,1,0,27,0,138,10,0,150,27,2,0,0,0,3,0,0,0,-1.0
444,1,0,0,16,0,74,7,0,81,16,0,0,0,0,2,0,0,0,-1.0
445,2,2,0,41,0,234,20,0,253,41,1,10,0,0,2,0,0,0,-1.0
446,0,0,1,2,0,14,1,0,15,2,0,0,0,0,0,0,0,0,1.0
447,3,0,3,16,0,62,9,0,70,16,1,0,0,0,0,0,1,0,-1.0
448,2,0,0,12,5,34,10,4,53,12,0,0,0,0,2,2,0,0,-1.0
449,1,1,0,10,1,65,6,2,75,10,0,0,0,0,1,1,0,0,-1.0
450,4,8,0,54,0,276,17,0,295,54,2,0,1,1,0,0,0,0,-1.0
451,2,4,1,30,0,158,9,2,168,30,0,0,0,0,1,0,0,0,
452,4,2,0,58,1,308,22,0,334,58,2,6,0,0,2,0,0,0,-1.0
453,1,1,0,25,0,114,8,0,120,25,3,0,0,0,0,0,0,0,0.0
454,1,3,0,35,1,163,16,0,177,35,2,6,0,0,0,0,0,0,-1.0
455,0,4,1,82,0,469,19,2,486,82,4,0,0,0,1,1,0,0,-1.0
456,4,3,1,88,1,497,26,0,531,88,10,6,1,1,0,0,0,0,1.0
457,5,7,0,91,2,543,35,4,580,91,4,0,3,3,2,2,0,0,-1.0
458,1,3,0,49,1,277,14,2,293,49,2,0,0,0,3,1,0,0,-1.0
459,2,4,3,49,1,258,21,4,283,49,2,0,0,0,2,2,0,0,-1.0
460,2,6,0,51,0,282,12,0,293,51,0,0,0,0,1,0,0,0,-1.0
461,1,2,0,35,2,174,13,2,194,35,1,6,1,1,0,0,0,0,0.0
462,2,0,1,26,1,125,15,0,146,26,1,6,0,0,2,0,0,0,-1.0
463,1,1,0,28,0,111,6,2,118,28,1,0,0,0,0,0,0,0,-1.0
464,0,0,0,1,0,7,2,0,8,1,0,0,0,0,0,0,0,0,-1.0
465,9,1,0,34,0,154,24,0,175,34,0,10,0,1,0,0,3,0,-1.0
466,5,2,0,25,0,130,10,0,140,25,1,0,0,0,0,0,1,0,-1.0
467,0,0,7,7,0,27,8,0,34,7,0,0,0,0,0,0,0,0,-1.0
468,22,4,2,177,14,1113,103,24,1258,177,7,18,2,2,14,12,3,0,
469,0,1,0,15,0,81,2,0,83,15,1,0,0,0,0,0,0,0,-1.0
470,0,1,0,16,0,83,2,0,84,16,0,0,0,0,0,0,0,0,-1.0
471,0,0,0,6,0,27,0,0,28,6,0,0,0,0,0,0,0,0,-1.0
472,2,0,0,22,0,108,4,0,113,22,1,0,0,0,0,0,0,0,0.0
473,1,0,0,29,1,157,9,0,166,29,1,6,0,0,0,0,0,0,-1.0
474,3,7,0,76,1,411,21,2,438,76,0,0,2,2,2,1,0,0,-1.0
475,2,5,0,31,0,155,10,0,164,31,0,0,0,0,0,0,0,0,1.0
476,3,1,0,33,0,150,6,0,158,33,1,0,0,0,0,0,0,0,-1.0
477,2,3,0,54,0,300,11,0,312,54,2,0,0,0,0,0,0,0,-1.0
478,4,7,0,79,2,425,24,6,458,79,0,0,0,0,4,3,0,0,-1.0
479,3,1,0,37,0,195,8,0,202,37,1,0,0,0,0,0,0,0,-1.0
480,0,0,0,11,0,65,2,0,65,11,0,0,0,0,0,0,0,0,-1.0
481,6,3,0,27,0,129,10,0,138,27,0,0,0,0,0,0,1,0,-1.0
482,10,6,0,150,11,873,95,40,1018,150,3,10,1,1,19,19,0,0,-1.0
483,3,4,0,37,1,191,16,0,209,37,1,6,0,0,0,0,0,0,-1.0
484,11,7,0,133,9,791,77,27,901,133,2,10,1,1,12,12,1,0,
485,10,13,0,190,8,1288,81,3,1392,190,0,0,2,2,17,0,0,0,-1.0
486,0,4,0,44,7,229,15,0,257,44,0,0,1,1,2,0,0,0,-1.0
487,0,2,1,3,0,17,3,0,21,3,0,0,0,0,0,0,0,0,1.0
488,1,5,0,48,1,276,10,0,288,48,0,0,0,0,1,0,0,0,-1.0
489,7,12,0,112,3,753,60,0,816,112,0,0,0,0,14,0,1,0,-1.0
490,7,8,0,83,2,507,39,0,550,83,0,0,0,0,8,0,1,0,-1.0
491,3,5,1,57,0,309,17,0,327,57,2,0,0,0,0,0,0,0,-1.0
492,2,0,0,16,0,82,3,0,86,16,0,0,0,0,0,0,0,0,-1.0
493,4,5,0,74,2,466,23,0,499,74,0,0,0,0,5,0,0,0,-1.0
494,12,9,0,154,2,973,53,0,1033,154,0,0,0,0,10,0,0,0,-1.0
495,2,3,1,60,1,355,9,2,371,60,0,0,0,0,1,1,0,0,-1.0
496,5,0,0,29,0,177,10,0,186,29,0,0,1,1,0,0,1,0,1.0
497,1,2,2,28,0,160,7,0,168,28,0,0,0,0,0,0,0,0,-1.0
498,2,10,2,73,2,409,24,4,439,73,1,0,0,0,2,2,0,0,-1.0
499,0,4,2,63,2,360,17,2,386,63,2,0,0,0,1,1,0,0,-1.0
500,1,5,1,33,1,170,12,2,184,33,0,0,0,0,1,1,0,0,-1.0
501,2,3,0,48,0,261,10,0,270,48,1,0,0,0,1,0,0,0,1.0
502,4,5,0,45,1,247,20,0,272,45,1,6,0,0,2,0,0,0,1.0
503,4,4,0,34,0,174,14,0,190,34,0,0,0,0,2,0,0,0,1.0
504,1,1,0,13,0,76,2,0,79,13,0,0,0,0,0,0,0,0,-1.0
505,6,8,0,128,4,780,45,16,850,128,2,0,0,0,8,8,0,0,-1.0
506,3,0,0,21,3,110,11,0,127,21,0,4,0,0,2,0,0,0,-1.0
507,1,1,0,11,0,42,2,0,45,11,0,0,0,0,0,0,0,0,1.0
508,1,0,0,37,0,195,2,0,200,37,0,0,0,0,0,0,0,0,1.0
509,2,1,4,25,2,143,14,4,165,25,1,0,0,0,2,2,0,0,1.0
510,1,0,0,3,0,19,1,0,21,3,0,0,0,0,0,0,0,0,
511,0,0,0,14,0,61,0,0,63,14,0,0,0,0,0,0,0,0,1.0
512,0,0,1,6,0,26,1,0,28,6,0,0,0,0,0,0,0,0,1.0
513,4,0,0,11,11,47,25,8,94,11,0,0,0,0,2,2,1,0,
514,12,4,0,143,10,869,21,0,906,143,2,0,0,0,1,0,0,0,
515,0,0,0,9,0,35,3,0,39,9,0,0,0,0,0,0,0,0,
516,1,1,0,30,0,138,4,0,142,30,1,0,0,0,0,0,0,0,1.0
517,3,0,2,6,0,51,6,0,58,6,1,0,0,0,0,0,1,0,-1.0
518,0,0,2,13,0,59,4,0,63,13,1,0,0,0,1,0,0,0,1.0
519,2,0,0,26,0,146,3,0,151,26,1,0,0,0,0,0,0,0,-1.0
520,0,0,0,12,0,64,1,0,64,12,0,0,0,0,0,0,0,0,0.0
521,10,1,4,50,0,292,30,0,323,50,1,6,0,0,1,0,3,0,-1.0
522,1,0,0,38,0,200,3,0,202,38,1,0,0,0,0,0,0,0,-1.0
523,2,0,0,11,0,63,2,0,67,11,0,0,0,0,0,0,0,0,1.0
524,1,0,0,7,0,42,1,0,44,7,0,0,0,0,0,0,0,0,0.0
525,0,0,1,4,1,27,9,3,40,4,1,0,0,0,2,1,0,0,1.0
526,7,29,0,132,1,750,40,0,803,132,3,0,0,0,0,0,0,0,1.0
527,6,10,0,80,0,432,19,0,454,80,1,0,0,0,0,0,1,0,1.0
528,7,0,2,5,2,31,11,0,46,5,2,0,0,0,0,0,2,0,-1.0
529,3,2,0,44,0,248,9,0,258,44,2,0,0,0,0,0,0,0,-1.0
530,1,2,1,32,0,172,6,0,180,32,0,0,0,0,1,0,0,0,0.0
531,2,0,0,24,0,118,3,0,121,24,0,0,0,0,0,0,0,0,-1.0
532,0,1,0,23,2,98,3,0,104,23,0,0,0,0,0,0,0,0,-1.0
533,0,1,0,13,0,59,2,0,62,13,0,0,0,0,0,0,0,0,0.0
534,3,2,1,36,2,156,10,0,172,36,1,0,0,0,0,0,1,0,-1.0
535,3,1,0,8,0,42,4,0,46,8,0,0,0,0,0,0,1,0,-1.0
536,0,1,0,20,0,97,3,0,101,20,1,0,0,0,0,0,0,0,-1.0
537,0,1,0,22,0,105,3,0,109,22,1,0,0,0,0,0,0,0,-1.0
538,3,0,0,31,1,178,12,0,191,31,0,6,0,0,1,0,0,0,-1.0
539,3,0,0,26,1,132,10,4,148,26,0,0,0,0,2,2,0,0,-1.0
540,1,0,0,4,0,17,1,0,18,4,0,0,0,0,0,0,0,0,-1.0
541,3,1,0,22,0,107,9,0,116,22,0,0,0,0,0,0,1,0,-1.0
542,1,0,0,15,0,76,1,0,77,15,0,0,0,0,0,0,0,0,-1.0
543,4,3,1,47,13,215,12,0,240,47,0,0,1,1,0,0,1,0,-1.0
544,3,1,2,48,2,263,10,0,280,48,2,0,0,0,1,0,0,0,-1.0
545,4,2,0,10,0,76,8,0,83,10,1,0,0,0,0,0,0,0,-1.0
546,4,4,0,61,0,306,15,7,331,61,0,0,1,1,1,0,0,0,-1.0
547,0,1,0,25,1,117,14,9,140,25,0,6,0,0,1,1,0,0,-1.0
548,3,1,1,14,4,74,10,2,96,14,1,0,0,0,2,1,0,0,0.0
549,9,6,1,42,3,200,21,0,225,42,1,0,0,0,0,0,3,0,
550,2,0,0,10,3,46,2,0,54,10,0,0,0,0,0,0,0,0,0.0
551,2,2,0,37,0,174,7,0,181,37,0,0,0,0,1,0,0,0,
552,1,1,3,26,0,116,8,0,126,26,1,0,1,1,0,0,0,0,-1.0
553,0,0,0,13,2,55,23,6,89,13,0,6,0,0,5,2,0,0,0.0
554,1,0,0,9,0,50,1,0,51,9,0,0,0,0,0,0,0,0,-1.0
555,1,2,0,17,0,83,4,0,88,17,1,0,0,0,0,0,0,0,
556,3,3,0,38,0,176,11,0,187,38,2,0,0,0,0,0,0,0,
557,4,1,0,13,21,19,6,0,53,13,0,0,0,0,1,0,1,0,
558,6,2,0,52,2,281,19,4,306,52,3,0,0,0,2,2,1,0,-1.0
559,0,1,0,19,0,70,2,0,71,19,0,0,0,0,0,0,0,0,-1.0
560,4,11,1,139,5,773,40,0,825,139,4,10,2,2,1,0,0,0,-1.0
561,9,2,0,94,2,531,32,0,576,94,10,14,0,0,1,0,0,0,-1.0
562,4,1,0,63,0,373,13,0,392,63,2,0,3,3,0,0,0,0,-1.0
563,0,3,1,33,5,179,7,0,193,33,1,0,0,0,0,0,0,0,0.0
564,4,0,1,21,52,45,6,0,115,21,0,0,0,0,0,0,1,0,0.0
565,0,0,0,9,0,40,0,0,40,9,0,0,0,0,0,0,0,0,-1.0
566,0,0,0,11,1,48,9,0,58,11,2,6,0,0,0,0,0,0,0.0
567,0,1,0,13,0,59,1,0,61,13,0,0,0,0,0,0,0,0,
568,6,4,0,53,1,260,16,2,281,53,0,0,0,0,1,1,0,0,-1.0
569,5,0,0,13,0,96,5,0,102,13,0,0,0,0,1,0,1,0,
570,3,0,1,9,0,41,7,2,52,9,0,0,0,0,1,1,1,0,
571,2,2,0,36,2,193,15,0,212,36,1,6,0,0,2,0,0,0,
572,0,3,1,19,0,99,4,0,103,19,0,0,0,0,0,0,0,0,-1.0
573,0,0,0,6,0,19,4,2,26,6,0,0,0,0,1,1,0,0,
574,3,1,0,30,3,137,16,4,166,30,4,0,1,1,2,2,0,0,-1.0
575,3,5,0,76,0,468,15,0,488,76,4,0,0,0,0,0,0,0,1.0
576,1,2,0,50,0,271,9,2,280,50,2,0,0,0,0,0,0,0,1.0
577,5,3,0,66,5,374,23,4,408,66,1,0,0,0,4,2,0,0,-1.0
578,0,3,0,20,0,92,8,2,106,20,3,0,0,0,0,0,0,0,-1.0
579,5,0,0,39,0,171,11,1,183,39,1,0,0,0,0,0,1,0,-1.0
580,15,0,3,60,0,310,30,0,342,60,2,6,0,0,0,0,2,0,-1.0
581,2,2,0,15,2,72,11,0,87,15,1,6,0,0,0,0,0,0,1.0
582,0,3,0,81,40,356,12,0,419,81,2,0,2,2,2,0,0,0,
583,2,5,0,74,0,395,20,0,419,74,4,6,1,1,0,0,0,0,-1.0
584,0,0,0,12,1,63,1,0,67,12,0,0,0,0,1,0,0,0,-1.0
585,3,1,0,36,0,192,8,0,200,36,1,0,0,0,0,0,0,0,1.0
586,2,0,0,33,1,134,5,1,144,33,1,0,0,0,0,0,0,0,-1.0
587,29,0,0,23,36,77,42,12,176,23,0,0,0,0,4,4,6,0,1.0
588,0,0,1,7,0,38,2,0,40,7,0,0,0,0,0,0,0,0,1.0
589,2,3,0,38,1,189,14,0,203,38,1,6,0,0,0,0,0,0,1.0
590,6,6,0,116,44,655,34,4,752,116,5,6,1,1,1,0,0,0,1.0
591,1,2,3,29,0,155,10,0,169,29,2,0,0,0,0,0,0,0,1.0
592,2,2,0,33,0,175,7,0,184,33,2,0,0,0,0,0,0,0,1.0
593,11,19,0,91,0,484,35,0,520,91,0,0,0,0,0,0,2,0,1.0
594,2,0,0,29,0,113,5,0,124,29,1,0,0,0,1,0,0,0,1.0
595,14,0,0,58,8,318,29,2,356,58,4,6,0,0,1,1,4,0,-1.0
596,7,0,8,69,2,384,38,4,426,69,2,6,0,0,2,2,1,0,1.0
597,2,2,0,44,2,237,20,2,266,44,4,6,1,1,1,1,0,0,-1.0
598,1,0,0,21,1,108,7,0,119,21,1,0,0,0,0,0,0,0,1.0
599,3,0,0,46,0,277,16,0,289,46,1,6,1,1,0,0,0,0,1.0
600,1,1,0,8,0,43,2,0,45,8,0,0,0,0,0,0,0,0,1.0
601,1,0,0,10,0,47,3,0,50,10,0,0,0,0,0,0,0,0,
602,9,2,1,28,0,131,16,0,150,28,0,0,0,0,0,0,2,0,-1.0
603,12,7,0,59,19,319,42,10,398,59,4,0,2,2,5,5,3,0,0.0
604,2,4,0,43,1,230,25,8,262,43,2,0,0,0,4,4,0,0,1.0
605,2,3,0,17,0,96,8,0,105,17,0,0,1,1,0,0,0,0,1.0
606,1,0,0,6,0,33,1,0,35,6,0,0,0,0,0,0,0,0,1.0
607,1,0,0,17,0,74,4,0,81,17,0,0,0,0,0,0,0,0,-1.0
608,5,6,3,81,3,461,30,4,496,81,1,0,1,1,2,2,1,0,1.0
609,2,3,0,30,0,127,5,2,136,30,0,0,0,0,0,0,0,0,1.0
610,0,3,4,15,0,66,8,1,75,15,0,0,0,0,0,0,0,0,-1.0
611,0,0,0,22,0,85,1,2,87,22,0,0,0,0,0,0,0,0,1.0
612,10,3,1,41,2,200,20,2,227,41,0,4,1,1,0,0,2,0,1.0
613,1,1,0,15,0,85,2,0,89,15,0,0,0,0,0,0,0,0,1.0
614,0,1,0,8,0,38,1,0,40,8,0,0,0,0,0,0,0,0,-1.0
615,2,1,0,71,0,355,13,0,370,71,1,0,1,1,0,0,0,0,-1.0
616,7,4,1,95,5,476,27,0,516,95,0,6,2,2,0,0,0,0,1.0
617,1,0,1,57,4,348,30,6,388,57,1,10,0,0,3,3,0,0,1.0
618,1,2,1,46,6,256,9,0,275,46,0,0,0,0,2,0,0,0,1.0
619,5,0,0,39,2,189,7,0,206,39,1,0,0,0,0,0,1,0,
620,8,4,0,46,6,236,17,0,266,46,0,6,0,0,0,0,1,0,0.0
621,0,2,0,14,0,74,4,0,82,14,1,0,0,0,0,0,0,0,-1.0
622,7,1,0,53,0,321,22,4,344,53,1,6,0,0,2,0,2,0,-1.0
623,0,0,0,4,0,19,1,0,21,4,0,0,0,0,0,0,0,0,-1.0
624,1,8,0,84,1,434,16,2,452,84,1,0,0,0,1,1,0,0,1.0
625,1,8,0,84,1,434,16,2,452,84,1,0,0,0,1,1,0,0,1.0
626,17,1,0,20,0,93,19,0,114,20,2,0,0,0,0,0,2,0,1.0
627,1,9,0,84,1,434,17,2,453,84,1,0,0,0,1,1,0,0,1.0
628,1,9,0,84,1,434,17,2,453,84,1,0,0,0,1,1,0,0,1.0
629,3,0,0,22,0,110,5,0,116,22,0,0,0,0,0,0,0,0,0.0
630,4,0,0,5,0,20,7,0,25,5,0,0,0,0,0,0,1,0,0.0
631,6,7,0,50,2,241,17,2,266,50,1,0,0,0,1,1,0,0,1.0
632,1,4,2,40,0,193,14,2,209,40,1,0,0,0,0,0,0,0,-1.0
633,7,1,0,26,1,118,13,0,134,26,6,0,0,0,0,0,1,0,1.0
634,4,2,0,17,0,73,7,0,81,17,0,0,0,0,0,0,1,0,-1.0
635,4,1,0,45,4,204,23,6,239,45,1,6,1,1,2,2,1,0,0.0
636,1,0,0,13,0,75,1,0,78,13,0,0,0,0,0,0,0,0,1.0
637,1,1,0,11,0,59,4,0,62,11,0,0,0,0,0,0,0,0,
638,1,3,0,49,2,239,15,0,258,49,0,10,0,0,0,0,0,0,0.0
639,3,0,0,34,0,161,5,0,171,34,1,0,0,0,0,0,0,0,1.0
640,1,1,0,20,0,93,5,0,96,20,0,0,0,0,0,0,0,0,1.0
641,9,6,3,111,7,678,44,3,736,111,8,6,1,1,1,0,0,0,1.0
642,5,0,0,8,1,48,17,0,65,8,0,10,0,0,0,0,1,0,0.0
643,0,0,0,17,0,83,4,0,86,17,1,0,1,1,0,0,0,0,1.0
644,0,2,1,22,0,98,4,0,103,22,0,0,0,0,0,0,0,0,1.0
645,3,4,0,64,0,326,17,2,344,64,0,0,0,0,1,0,0,0,0.0
646,6,7,0,112,5,609,24,0,658,112,5,0,0,0,0,0,0,0,-1.0
647,0,0,5,5,0,31,7,8,46,5,0,0,0,0,2,0,0,0,1.0
648,9,10,0,135,18,859,46,0,918,135,6,14,0,0,0,0,0,0,
649,0,0,0,11,1,58,1,0,63,11,1,0,0,0,0,0,0,0,1.0
650,0,5,1,60,0,337,11,0,349,60,2,0,0,0,0,0,0,0,0.0
651,5,0,0,16,1,81,13,0,94,16,0,6,0,0,1,0,1,0,1.0
652,4,0,1,23,0,117,13,1,131,23,1,6,0,0,0,0,1,0,-1.0
653,1,1,2,17,2,72,6,0,81,17,1,0,0,0,0,0,0,0,0.0
654,7,2,0,63,0,322,21,0,345,63,4,0,0,0,0,0,0,0,1.0
655,5,1,0,70,0,401,9,0,419,70,1,0,0,0,0,0,0,0,1.0
656,4,0,0,7,0,34,4,0,38,7,0,0,0,0,0,0,1,0,-1.0
657,0,1,1,12,0,43,4,0,48,12,0,0,0,0,0,0,0,0,0.0
658,3,3,0,19,1,85,11,2,103,19,0,0,1,1,1,1,1,0,0.0
659,6,4,0,106,2,539,25,6,578,106,5,0,2,2,0,0,0,0,
