Lemma/_writtenForm,Sense/Confidence/_level,Sense/MonolingualExternalRef,Sense/Sentiment/_polarity,Sense/Sentiment/_strength,Sense/Domain,_id,_partOfSpeech
credence,manual,,positive,strong,,,noun
credible,manual,,positive,strong,,,adj
credulous,manual,,negative,strong,,,adj
crime,manual,,negative,average,,,noun
criminal,manual,,negative,average,,,noun
cringe,manual,,negative,strong,,,verb
cripple,manual,,negative,strong,,,verb
crippling,manual,,negative,strong,,,adj
crisis,manual,,negative,average,,,adj
crisis,manual,,negative,average,,,noun
crisp,manual,,positive,average,,,adj
critic,manual,,negative,strong,,,noun
critical,manual,,negative,strong,,,other
criticism,manual,,negative,strong,,,adj
criticism,manual,,negative,strong,,,noun
criticisms,manual,,negative,strong,,,adj
criticisms,manual,,negative,strong,,,noun
criticize,manual,,negative,strong,,,verb
critics,manual,,negative,strong,,,adj
critics,manual,,negative,strong,,,noun
crook,manual,,negative,strong,,,noun
crooked,manual,,negative,strong,,,adj
cross,manual,,negative,strong,,,adj
crowded,manual,,negative,average,,,adj
crude,manual,,negative,average,,,adj
cruel,manual,,negative,strong,,,adj
cruelties,manual,,negative,strong,,,noun
cruelty,manual,,negative,strong,,,noun
crumble,manual,,negative,average,,,verb
crumple,manual,,negative,average,,,verb
crusade,manual,,positive,strong,,,adj
crusade,manual,,positive,strong,,,noun
crusader,manual,,positive,strong,,,noun
crush,manual,,negative,average,,,verb
crushing,manual,,negative,average,,,adj
cry,manual,,negative,strong,,,verb
culpable,manual,,negative,strong,,,adj
cuplrit,manual,,negative,strong,,,noun
cumbersome,manual,,negative,strong,,,adj
cure-all,manual,,positive,strong,,,adj
cure-all,manual,,positive,strong,,,noun
curious,manual,,positive,strong,,,other
curiously,manual,,positive,strong,,,other
curse,manual,,negative,strong,,,noun
curse,manual,,negative,strong,,,verb
cursed,manual,,negative,strong,,,adj
cursed,manual,,negative,strong,,,other
curses,manual,,negative,strong,,,noun
cursory,manual,,negative,average,,,adj
curt,manual,,negative,average,,,adj
cuss,manual,,negative,strong,,,verb
cut,manual,,negative,average,,,verb
cute,manual,,positive,strong,,,adj
cutthroat,manual,,negative,strong,,,adj
cynical,manual,,negative,strong,,,adj
cynicism,manual,,negative,strong,,,noun
damage,manual,,negative,average,,,noun
damage,manual,,negative,average,,,verb
damaging,manual,,negative,average,,,adj
damn,manual,,negative,strong,,,adj
damn,manual,,negative,strong,,,noun
damn,manual,,negative,strong,,,verb
damnable,manual,,negative,strong,,,other
damnably,manual,,negative,strong,,,other
damnation,manual,,negative,strong,,,other
damned,manual,,negative,strong,,,other
damning,manual,,negative,strong,,,other
dance,manual,,positive,average,,,noun
dance,manual,,positive,average,,,verb
danger,manual,,negative,average,,,adj
danger,manual,,negative,average,,,noun
dangerous,manual,,negative,average,,,adj
dangerousness,manual,,negative,strong,,,adj
dangerousness,manual,,negative,strong,,,noun
dangle,manual,,negative,strong,,,verb
dare,manual,,positive,strong,,,verb
daring,manual,,positive,strong,,,other
daringly,manual,,positive,strong,,,other
dark,manual,,negative,average,,,adj
darken,manual,,negative,average,,,verb
darkness,manual,,negative,average,,,noun
darling,manual,,positive,strong,,,other
darn,manual,,negative,strong,,,other
dash,manual,,negative,average,,,verb
dashing,manual,,positive,strong,,,adj
dastard,manual,,negative,strong,,,noun
dastardly,manual,,negative,strong,,,other
daunt,manual,,negative,strong,,,verb
daunting,manual,,negative,strong,,,other
dauntingly,manual,,negative,strong,,,other
dauntless,manual,,positive,strong,,,adj
dawdle,manual,,negative,strong,,,verb
dawn,manual,,positive,average,,,verb
daydream,manual,,positive,strong,,,verb
daydreamer,manual,,positive,strong,,,other
daze,manual,,negative,strong,,,verb
dazed,manual,,negative,strong,,,adj
dazzle,manual,,positive,strong,,,verb
dazzled,manual,,positive,strong,,,adj
dazzling,manual,,positive,strong,,,other
dead,manual,,negative,average,,,adj
deadbeat,manual,,negative,strong,,,adj
deadlock,manual,,negative,strong,,,noun
deadlock,manual,,negative,strong,,,verb
deadly,manual,,negative,average,,,adj
deadweight,manual,,negative,strong,,,adj
deaf,manual,,negative,average,,,adj
deal,manual,,positive,average,,,noun
dear,manual,,positive,strong,,,adj
dearth,manual,,negative,strong,,,noun
death,manual,,negative,average,,,noun
debacle,manual,,negative,strong,,,noun
debase,manual,,negative,strong,,,verb
debasement,manual,,negative,strong,,,noun
debaser,manual,,negative,strong,,,noun
debatable,manual,,negative,strong,,,other
debate,manual,,negative,strong,,,verb
debauch,manual,,negative,strong,,,verb
debaucher,manual,,negative,strong,,,noun
debauchery,manual,,negative,strong,,,noun
debilitate,manual,,negative,average,,,verb
debilitating,manual,,negative,average,,,adj
debility,manual,,negative,average,,,noun
decadence,manual,,negative,strong,,,noun
decadent,manual,,negative,strong,,,adj
decay,manual,,negative,strong,,,noun
decay,manual,,negative,strong,,,verb
decayed,manual,,negative,strong,,,other
deceit,manual,,negative,strong,,,noun
deceitful,manual,,negative,strong,,,other
deceitfully,manual,,negative,strong,,,other
deceitfulness,manual,,negative,strong,,,other
deceiving,manual,,negative,strong,,,adj
deceive,manual,,negative,strong,,,verb
deceiver,manual,,negative,strong,,,noun
deceivers,manual,,negative,strong,,,noun
decent,manual,,positive,average,,,adj
decency,manual,,positive,average,,,noun
deception,manual,,negative,strong,,,adj
deception,manual,,negative,strong,,,noun
deceptive,manual,,negative,strong,,,adj
deceptive,manual,,negative,strong,,,noun
deceptively,manual,,negative,strong,,,other
decide,manual,,neutral,average,,,verb
decisive,manual,,positive,average,,,adj
decisiveness,manual,,positive,average,,,adj
decisiveness,manual,,positive,average,,,noun
declaim,manual,,negative,strong,,,verb
decline,manual,,negative,average,,,noun
decline,manual,,negative,average,,,verb
declining,manual,,negative,average,,,adj
decrease,manual,,negative,average,,,noun
decrease,manual,,negative,average,,,verb
decreasing,manual,,negative,average,,,adj
decrement,manual,,negative,average,,,noun
decrepit,manual,,negative,strong,,,adj
decrepitude,manual,,negative,strong,,,noun
decry,manual,,negative,strong,,,verb
dedicated,manual,,positive,strong,,,adj
deduce,manual,,neutral,strong,,,verb
deep,manual,,neutral,average,,,adj
deep,manual,,negative,average,,,noun
deeply,manual,,neutral,strong,,,other
deepening,manual,,negative,strong,,,adj
deepening,manual,,negative,strong,,,noun
defamation,manual,,negative,strong,,,noun
defamations,manual,,negative,strong,,,noun
defamatory,manual,,negative,strong,,,other
defame,manual,,negative,strong,,,verb
defeat,manual,,negative,average,,,noun
defeat,manual,,negative,average,,,verb
defect,manual,,negative,average,,,noun
defective,manual,,negative,strong,,,adj
defend,manual,,positive,average,,,verb
defender,manual,,positive,strong,,,adj
defender,manual,,positive,strong,,,noun
defensive,manual,,negative,average,,,adj
deference,manual,,positive,strong,,,noun
defense,manual,,positive,average,,,noun
defiance,manual,,negative,strong,,,adj
defiance,manual,,negative,strong,,,noun
defiant,manual,,negative,strong,,,adj
defiantly,manual,,negative,strong,,,other
deficiency,manual,,negative,average,,,noun
deficient,manual,,negative,average,,,adj
defile,manual,,negative,strong,,,verb
defiler,manual,,negative,strong,,,noun
definite,manual,,positive,average,,,adj
definitely,manual,,positive,average,,,other
definitive,manual,,positive,average,,,adj
definitive,manual,,positive,average,,,noun
definitively,manual,,positive,strong,,,other
deflationary,manual,,positive,average,,,adj
deform,manual,,negative,average,,,verb
deformed,manual,,negative,average,,,adj
defrauding,manual,,negative,strong,,,adj
defrauding,manual,,negative,strong,,,noun
deft,manual,,positive,strong,,,adj
defunct,manual,,negative,strong,,,adj
defy,manual,,negative,strong,,,verb
degenerate,manual,,negative,strong,,,adj
degenerate,manual,,negative,strong,,,verb
degenerately,manual,,negative,strong,,,other
degeneration,manual,,negative,strong,,,noun
degradation,manual,,negative,strong,,,noun
degrade,manual,,negative,strong,,,verb
degrading,manual,,negative,strong,,,adj
degradingly,manual,,negative,strong,,,other
dehumanization,manual,,negative,strong,,,noun
dehumanize,manual,,negative,strong,,,verb
deign,manual,,negative,strong,,,verb
deject,manual,,negative,strong,,,verb
dejected,manual,,negative,strong,,,adj
dejectedly,manual,,negative,strong,,,adj
dejection,manual,,negative,strong,,,noun
delectable,manual,,positive,strong,,,adj
delicacy,manual,,positive,average,,,noun
delicate,manual,,positive,average,,,adj
delicious,manual,,positive,strong,,,adj
delight,manual,,positive,strong,,,noun
delight,manual,,positive,strong,,,verb
delighted,manual,,positive,strong,,,adj
delightful,manual,,positive,strong,,,adj
delightful,manual,,positive,strong,,,other
delightfully,manual,,positive,strong,,,other
delightfulness,manual,,positive,strong,,,noun
delinquency,manual,,negative,average,,,noun
delinquent,manual,,negative,average,,,adj
delirious,manual,,negative,strong,,,adj
delirium,manual,,negative,strong,,,noun
delude,manual,,negative,strong,,,verb
deluded,manual,,negative,strong,,,adj
deluge,manual,,negative,average,,,noun
delusion,manual,,negative,strong,,,adj
delusion,manual,,negative,strong,,,noun
delusional,manual,,negative,strong,,,adj
delusional,manual,,negative,strong,,,other
delusions,manual,,negative,strong,,,adj
delusions,manual,,negative,strong,,,noun
demand,manual,,both,average,,,adj
demand,manual,,both,average,,,noun
demand,manual,,both,strong,,,verb
demands,manual,,both,average,,,adj
demands,manual,,both,average,,,noun
demean,manual,,negative,strong,,,verb
demeaning,manual,,negative,strong,,,adj
demise,manual,,negative,strong,,,noun
democratic,manual,,positive,average,,,adj
demolish,manual,,negative,average,,,verb
demolisher,manual,,negative,average,,,noun
demon,manual,,negative,strong,,,noun
demonic,manual,,negative,strong,,,adj
demonize,manual,,negative,strong,,,other
demonize,manual,,negative,strong,,,verb
demoralize,manual,,negative,strong,,,verb
demoralizing,manual,,negative,strong,,,other
demoralizingly,manual,,negative,strong,,,other
demystify,manual,,positive,strong,,,verb
denial,manual,,negative,strong,,,noun
denigrate,manual,,negative,strong,,,verb
deny,manual,,negative,strong,,,verb
denounce,manual,,negative,strong,,,verb
denunciate,manual,,negative,strong,,,verb
denunciation,manual,,negative,strong,,,noun
denunciations,manual,,negative,strong,,,noun
dependable,manual,,positive,average,,,adj
dependent,manual,,neutral,average,,,adj
dependent,manual,,neutral,average,,,noun
deplete,manual,,negative,average,,,verb
deplorable,manual,,negative,strong,,,adj
deplorable,manual,,negative,strong,,,other
deplorably,manual,,negative,strong,,,other
deplore,manual,,negative,strong,,,verb
deploring,manual,,negative,strong,,,adj
deploringly,manual,,negative,strong,,,other
deprave,manual,,negative,strong,,,verb
depraved,manual,,negative,strong,,,adj
depravedly,manual,,negative,strong,,,other
deprecate,manual,,negative,strong,,,verb
depress,manual,,negative,average,,,verb
depressed,manual,,negative,strong,,,adj
depressing,manual,,negative,strong,,,adj
depressing,manual,,negative,strong,,,other
depressingly,manual,,negative,strong,,,other
depression,manual,,negative,average,,,adj
depression,manual,,negative,average,,,noun
deprive,manual,,negative,strong,,,verb
deprived,manual,,negative,strong,,,adj
deride,manual,,negative,strong,,,verb
derision,manual,,negative,strong,,,noun
derisive,manual,,negative,strong,,,other
derisively,manual,,negative,strong,,,other
derisiveness,manual,,negative,strong,,,other
derogatory,manual,,negative,strong,,,adj
desecrate,manual,,negative,strong,,,verb
deserve,manual,,positive,strong,,,verb
deserved,manual,,positive,strong,,,adj
deservedly,manual,,positive,strong,,,other
deserving,manual,,positive,strong,,,adj
desert,manual,,negative,strong,,,verb
desertion,manual,,negative,strong,,,noun
desiccate,manual,,negative,strong,,,verb
desiccated,manual,,negative,strong,,,adj
desirable,manual,,positive,strong,,,adj
desire,manual,,positive,strong,,,adj
desire,manual,,positive,strong,,,noun
desire,manual,,positive,strong,,,verb
desirous,manual,,positive,strong,,,other
desolate,manual,,negative,strong,,,adj
desolately,manual,,negative,strong,,,other
desolation,manual,,negative,strong,,,noun
despair,manual,,negative,strong,,,noun
despair,manual,,negative,strong,,,verb
despairing,manual,,negative,strong,,,adj
despairingly,manual,,negative,strong,,,other
desperate,manual,,negative,strong,,,adj
desperately,manual,,negative,strong,,,other
desperation,manual,,negative,strong,,,noun
despicable,manual,,negative,strong,,,adj
despicably,manual,,negative,strong,,,other
despise,manual,,negative,strong,,,verb
despised,manual,,negative,strong,,,adj
despised,manual,,negative,strong,,,other
despite,manual,,negative,strong,,,other
despoil,manual,,negative,strong,,,verb
despoiler,manual,,negative,strong,,,noun
despondence,manual,,negative,strong,,,noun
despondency,manual,,negative,strong,,,noun
despondent,manual,,negative,strong,,,adj
despondently,manual,,negative,strong,,,other
despot,manual,,negative,strong,,,noun
despotic,manual,,negative,strong,,,adj
despotism,manual,,negative,strong,,,adj
despotism,manual,,negative,strong,,,noun
destabilisation,manual,,negative,strong,,,adj
destabilisation,manual,,negative,strong,,,noun
destine,manual,,positive,average,,,verb
destined,manual,,positive,average,,,adj
destinies,manual,,positive,strong,,,adj
destinies,manual,,positive,strong,,,noun
destiny,manual,,positive,strong,,,noun
destiny,manual,,neutral,average,,,adj
destiny,manual,,neutral,average,,,noun
destitute,manual,,negative,strong,,,adj
destitution,manual,,negative,strong,,,noun
destroy,manual,,negative,average,,,verb
destroyer,manual,,negative,strong,,,adj
destroyer,manual,,negative,strong,,,noun
destruction,manual,,negative,average,,,noun
destructive,manual,,negative,strong,,,adj
desultory,manual,,negative,strong,,,adj
deter,manual,,negative,average,,,verb
deteriorate,manual,,negative,average,,,adj
deteriorating,manual,,negative,average,,,adj
deteriorating,manual,,negative,average,,,noun
deterioration,manual,,negative,average,,,noun
determination,manual,,positive,strong,,,adj
determination,manual,,positive,strong,,,noun
deterrent,manual,,negative,average,,,other
detest,manual,,negative,strong,,,verb
detestable,manual,,negative,strong,,,other
detestably,manual,,negative,strong,,,other
detract,manual,,negative,average,,,verb
detraction,manual,,negative,average,,,noun
detriment,manual,,negative,strong,,,noun
detrimental,manual,,negative,strong,,,adj
devastate,manual,,negative,strong,,,other
devastated,manual,,negative,strong,,,other
devastating,manual,,negative,strong,,,other
devastatingly,manual,,negative,strong,,,other
devastation,manual,,negative,average,,,noun
deviate,manual,,negative,average,,,adj
deviate,manual,,negative,average,,,noun
deviate,manual,,negative,average,,,verb
deviation,manual,,negative,average,,,noun
devil,manual,,negative,strong,,,noun
devilish,manual,,negative,strong,,,adj
devilishly,manual,,negative,strong,,,other
devilment,manual,,negative,strong,,,noun
devilry,manual,,negative,strong,,,noun
devious,manual,,negative,strong,,,other
deviously,manual,,negative,strong,,,other
deviousness,manual,,negative,strong,,,noun
devoid,manual,,negative,strong,,,adj
devote,manual,,positive,strong,,,verb
devoted,manual,,positive,strong,,,adj
devotee,manual,,positive,strong,,,noun
devotion,manual,,positive,strong,,,noun
devout,manual,,positive,average,,,adj
dexterity,manual,,positive,average,,,noun
dexterous,manual,,positive,strong,,,adj
dexterously,manual,,positive,strong,,,other
dextrous,manual,,positive,strong,,,adj
diabolic,manual,,negative,strong,,,adj
diabolical,manual,,negative,strong,,,adj
diabolically,manual,,negative,strong,,,other
diametrically,manual,,negative,strong,,,other
diatribe,manual,,negative,strong,,,other
diatribes,manual,,negative,strong,,,other
dictator,manual,,negative,average,,,noun
dictatorial,manual,,negative,average,,,adj
differ,manual,,negative,average,,,verb
difference,manual,,neutral,average,,,adj
difference,manual,,neutral,average,,,noun
difficult,manual,,negative,average,,,adj
difficulties,manual,,negative,average,,,adj
difficulties,manual,,negative,average,,,noun
difficulty,manual,,negative,strong,,,adj
difficulty,manual,,negative,strong,,,noun
diffidence,manual,,negative,strong,,,adj
diffidence,manual,,negative,strong,,,noun
dig,manual,,negative,average,,,noun
dig,manual,,positive,average,,,verb
dignified,manual,,positive,strong,,,adj
dignify,manual,,positive,average,,,verb
dignity,manual,,positive,strong,,,noun
digress,manual,,negative,strong,,,verb
dilapidated,manual,,negative,strong,,,adj
dilemma,manual,,negative,average,,,adj
dilemma,manual,,negative,average,,,noun
diligence,manual,,positive,average,,,noun
diligent,manual,,positive,average,,,adj
diligently,manual,,positive,average,,,other
dilly-dally,manual,,negative,strong,,,verb
dim,manual,,negative,strong,,,adj
dim,manual,,negative,average,,,other
diminish,manual,,negative,average,,,verb
diminishing,manual,,negative,average,,,adj
din,manual,,negative,average,,,noun
dinky,manual,,negative,average,,,adj
diplomacy,manual,,neutral,average,,,adj
diplomacy,manual,,neutral,average,,,noun
diplomatic,manual,,positive,average,,,adj
diplomatic,manual,,positive,average,,,noun
dire,manual,,negative,strong,,,adj
direct,manual,,neutral,average,,,adj
direly,manual,,negative,strong,,,other
direness,manual,,negative,strong,,,noun
dirt,manual,,negative,average,,,noun
dirty,manual,,negative,average,,,adj
dirty,manual,,negative,average,,,other
disable,manual,,negative,average,,,verb
disabled,manual,,negative,average,,,adj
disaccord,manual,,negative,strong,,,noun
disadvantage,manual,,negative,strong,,,noun
disadvantaged,manual,,negative,average,,,adj
disadvantageous,manual,,negative,strong,,,adj
disadvantageous,manual,,negative,strong,,,noun
disaffect,manual,,negative,strong,,,verb
disaffected,manual,,negative,strong,,,adj
disaffirm,manual,,negative,strong,,,verb
disagree,manual,,negative,strong,,,verb
disagreeable,manual,,negative,strong,,,other
disagreeably,manual,,negative,strong,,,other
disagreement,manual,,negative,strong,,,adj
disagreement,manual,,negative,strong,,,noun
disallow,manual,,negative,strong,,,verb
disappoint,manual,,negative,strong,,,verb
disappointed,manual,,negative,strong,,,adj
disappointing,manual,,negative,strong,,,other
disappointingly,manual,,negative,strong,,,other
disappointment,manual,,negative,strong,,,adj
disappointment,manual,,negative,strong,,,noun
disapprobation,manual,,negative,strong,,,noun
disapproval,manual,,negative,strong,,,adj
disapproval,manual,,negative,strong,,,noun
disapprove,manual,,negative,strong,,,other
disapproving,manual,,negative,strong,,,other
disarm,manual,,negative,average,,,verb
disarray,manual,,negative,strong,,,adj
disarray,manual,,negative,strong,,,noun
disaster,manual,,negative,strong,,,noun
disastrous,manual,,negative,strong,,,adj
disastrously,manual,,negative,strong,,,other
disavow,manual,,negative,strong,,,verb
disavowal,manual,,negative,strong,,,noun
disbelief,manual,,negative,strong,,,noun
disbelieve,manual,,negative,strong,,,verb
disbeliever,manual,,negative,strong,,,noun
discern,manual,,neutral,strong,,,verb
discerning,manual,,positive,strong,,,other
disclaim,manual,,negative,strong,,,verb
discombobulate,manual,,negative,strong,,,verb
discomfit,manual,,negative,strong,,,verb
discomfititure,manual,,negative,strong,,,noun
discomfort,manual,,negative,average,,,noun
discompose,manual,,negative,average,,,verb
disconcert,manual,,negative,strong,,,verb
disconcerted,manual,,negative,strong,,,adj
disconcerting,manual,,negative,strong,,,other
disconcertingly,manual,,negative,strong,,,other
disconsolate,manual,,negative,strong,,,adj
disconsolately,manual,,negative,strong,,,other
disconsolation,manual,,negative,strong,,,noun
discontent,manual,,negative,strong,,,adj
discontent,manual,,negative,strong,,,noun
discontented,manual,,negative,strong,,,adj
discontentedly,manual,,negative,strong,,,other
discontinuity,manual,,negative,strong,,,adj
discontinuity,manual,,negative,strong,,,noun
discord,manual,,negative,strong,,,noun
discordance,manual,,negative,strong,,,noun
discordant,manual,,negative,strong,,,adj
discountenance,manual,,negative,strong,,,noun
discourage,manual,,negative,strong,,,verb
discouragement,manual,,negative,strong,,,noun
discouraging,manual,,negative,strong,,,other
discouragingly,manual,,negative,strong,,,other
discourteous,manual,,negative,strong,,,adj
discourteously,manual,,negative,strong,,,adj
discredit,manual,,negative,strong,,,verb
discreet,manual,,positive,average,,,adj
discreet,manual,,positive,average,,,noun
discrepant,manual,,negative,average,,,adj
discretion,manual,,positive,average,,,noun
discriminate,manual,,negative,average,,,verb
discriminating,manual,,positive,average,,,adj
discriminatingly,manual,,positive,average,,,other
discrimination,manual,,negative,average,,,adj
discrimination,manual,,negative,average,,,noun
discriminatory,manual,,negative,strong,,,adj
disdain,manual,,negative,strong,,,noun
disdain,manual,,negative,strong,,,verb
disdainful,manual,,negative,strong,,,other
disdainfully,manual,,negative,strong,,,other
disease,manual,,negative,average,,,noun
diseased,manual,,negative,average,,,adj
disfavor,manual,,negative,strong,,,verb
disgrace,manual,,negative,strong,,,noun
disgrace,manual,,negative,strong,,,verb
disgraced,manual,,negative,strong,,,adj
disgraceful,manual,,negative,strong,,,other
disgracefully,manual,,negative,strong,,,other
disgruntle,manual,,negative,strong,,,verb
disgruntled,manual,,negative,strong,,,adj
disgust,manual,,negative,strong,,,noun
disgust,manual,,negative,strong,,,verb
disgusted,manual,,negative,strong,,,adj
disgustedly,manual,,negative,strong,,,other
disgustful,manual,,negative,strong,,,adj
disgustfully,manual,,negative,strong,,,other
disgusting,manual,,negative,strong,,,other
disgustingly,manual,,negative,strong,,,other
dishearten,manual,,negative,strong,,,verb
disheartening,manual,,negative,strong,,,other
dishearteningly,manual,,negative,strong,,,other
dishonest,manual,,negative,strong,,,adj
dishonest,manual,,negative,strong,,,noun
dishonestly,manual,,negative,strong,,,other
dishonesty,manual,,negative,strong,,,noun
dishonor,manual,,negative,strong,,,noun
dishonor,manual,,negative,strong,,,verb
dishonorable,manual,,negative,strong,,,adj
dishonorablely,manual,,negative,strong,,,other
disillusion,manual,,negative,strong,,,noun
disillusion,manual,,negative,strong,,,verb
disillusioned,manual,,negative,strong,,,adj
disinclination,manual,,negative,strong,,,noun
disinclined,manual,,negative,strong,,,other
disingenuous,manual,,negative,strong,,,adj
disingenuously,manual,,negative,strong,,,other
disintegrate,manual,,negative,average,,,verb
disinterested,manual,,negative,average,,,adj
disintegration,manual,,negative,average,,,noun
disinterest,manual,,negative,strong,,,noun
disinterested,manual,,negative,strong,,,adj
dislike,manual,,negative,strong,,,verb
dislocated,manual,,negative,average,,,adj
disloyal,manual,,negative,strong,,,adj
disloyal,manual,,negative,strong,,,noun
disloyalty,manual,,negative,strong,,,other
dismal,manual,,negative,strong,,,adj
dismally,manual,,negative,strong,,,other
dismalness,manual,,negative,strong,,,noun
dismay,manual,,negative,strong,,,noun
dismay,manual,,negative,strong,,,verb
dismayed,manual,,negative,strong,,,adj
dismaying,manual,,negative,strong,,,other
dismayingly,manual,,negative,strong,,,other
dismissive,manual,,negative,strong,,,adj
dismissive,manual,,negative,strong,,,noun
dismissively,manual,,negative,strong,,,other
disobedience,manual,,negative,strong,,,noun
disobedient,manual,,negative,strong,,,adj
disobey,manual,,negative,strong,,,verb
disown,manual,,negative,strong,,,verb
disorder,manual,,negative,average,,,noun
disorder,manual,,negative,average,,,verb
disordered,manual,,negative,average,,,adj
disorderly,manual,,negative,average,,,adj
disorganized,manual,,negative,strong,,,adj
disorient,manual,,negative,strong,,,verb
disoriented,manual,,negative,strong,,,adj
disown,manual,,negative,strong,,,verb
disparage,manual,,negative,strong,,,verb
disparaging,manual,,negative,strong,,,adj
disparagingly,manual,,negative,strong,,,other
dispensable,manual,,negative,average,,,adj
dispirit,manual,,negative,strong,,,verb
dispirited,manual,,negative,strong,,,adj
dispiritedly,manual,,negative,strong,,,other
dispiriting,manual,,negative,strong,,,other
displace,manual,,negative,average,,,verb
displaced,manual,,negative,average,,,adj
displease,manual,,negative,strong,,,verb
displeasing,manual,,negative,strong,,,adj
displeasure,manual,,negative,strong,,,adj
displeasure,manual,,negative,strong,,,noun
disposition,manual,,neutral,strong,,,noun
disproportionate,manual,,negative,average,,,adj
disprove,manual,,negative,strong,,,verb
disputable,manual,,negative,strong,,,other
dispute,manual,,negative,strong,,,noun
dispute,manual,,negative,strong,,,verb
disputed,manual,,negative,strong,,,adj
disquiet,manual,,negative,strong,,,verb
disquieting,manual,,negative,strong,,,other
disquietingly,manual,,negative,strong,,,other
disquietude,manual,,negative,strong,,,noun
disregard,manual,,negative,strong,,,adj
disregard,manual,,negative,strong,,,noun
disregardful,manual,,negative,strong,,,adj
disreputable,manual,,negative,strong,,,adj
disrepute,manual,,negative,strong,,,noun
disrespect,manual,,negative,strong,,,verb
disrespectable,manual,,negative,strong,,,adj
disrespectablity,manual,,negative,strong,,,noun
disrespectful,manual,,negative,strong,,,other
disrespectfully,manual,,negative,strong,,,other
disrespectfulness,manual,,negative,strong,,,noun
disrespecting,manual,,negative,strong,,,adj
disrespecting,manual,,negative,strong,,,noun
disrupt,manual,,negative,strong,,,verb
disruption,manual,,negative,strong,,,adj
disruption,manual,,negative,strong,,,noun
disruptive,manual,,negative,strong,,,adj
dissatisfaction,manual,,negative,strong,,,adj
dissatisfaction,manual,,negative,strong,,,noun
dissatisfactory,manual,,negative,strong,,,adj
dissatisfied,manual,,negative,strong,,,adj
dissatisfy,manual,,negative,strong,,,verb
dissatisfying,manual,,negative,strong,,,other
dissemble,manual,,negative,strong,,,verb
dissembler,manual,,negative,strong,,,noun
dissension,manual,,negative,strong,,,noun
dissent,manual,,negative,strong,,,adj
dissent,manual,,negative,strong,,,noun
dissenter,manual,,negative,strong,,,noun
dissention,manual,,negative,strong,,,noun
disservice,manual,,negative,strong,,,adj
disservice,manual,,negative,strong,,,noun
dissidence,manual,,negative,strong,,,noun
dissident,manual,,negative,strong,,,adj
dissident,manual,,negative,strong,,,noun
dissidents,manual,,negative,strong,,,adj
dissidents,manual,,negative,strong,,,noun
dissocial,manual,,negative,strong,,,adj
dissolute,manual,,negative,strong,,,adj
dissolution,manual,,negative,average,,,noun
dissonance,manual,,negative,strong,,,noun
dissonant,manual,,negative,strong,,,adj
dissonantly,manual,,negative,strong,,,other
dissuade,manual,,negative,strong,,,verb
dissuasive,manual,,negative,strong,,,adj
distaste,manual,,negative,strong,,,noun
distasteful,manual,,negative,strong,,,adj
distastefully,manual,,negative,strong,,,other
distinct,manual,,positive,average,,,adj
distinction,manual,,positive,average,,,noun
distinctive,manual,,positive,average,,,adj
distinctive,manual,,positive,average,,,adj
distinctive,manual,,positive,average,,,noun
distinctly,manual,,neutral,average,,,adj
distinguish,manual,,positive,average,,,verb
distinguished,manual,,positive,strong,,,adj
distort,manual,,negative,strong,,,verb
distortion,manual,,negative,strong,,,adj
distortion,manual,,negative,strong,,,noun
distract,manual,,negative,average,,,verb
distracting,manual,,negative,strong,,,adj
distraction,manual,,negative,strong,,,adj
distraction,manual,,negative,strong,,,noun
distraught,manual,,negative,strong,,,adj
distraughtly,manual,,negative,strong,,,other
distraughtness,manual,,negative,strong,,,noun
distress,manual,,negative,strong,,,verb
distressed,manual,,negative,strong,,,adj
distressing,manual,,negative,strong,,,adj
distressingly,manual,,negative,strong,,,other
distrust,manual,,negative,strong,,,verb
distrustful,manual,,negative,strong,,,adj
distrusting,manual,,negative,strong,,,other
disturb,manual,,negative,strong,,,verb
disturbed,manual,,negative,strong,,,adj
disturbed-let,manual,,negative,strong,,,adj
disturbed-let,manual,,negative,strong,,,noun
disturbing,manual,,negative,strong,,,other
disturbingly,manual,,negative,strong,,,other
disunity,manual,,negative,strong,,,noun
disvalue,manual,,negative,strong,,,noun
divergent,manual,,negative,average,,,adj
diversified,manual,,positive,average,,,adj
divide,manual,,negative,average,,,verb
divided,manual,,negative,average,,,adj
divine,manual,,positive,strong,,,adj
divine,manual,,positive,strong,,,other
divinely,manual,,positive,strong,,,other
division,manual,,negative,average,,,noun
divisive,manual,,negative,strong,,,adj
divisively,manual,,negative,strong,,,other
divisiveness,manual,,negative,strong,,,noun
divorce,manual,,negative,average,,,noun
divorce,manual,,negative,average,,,verb
divorced,manual,,negative,average,,,adj
dizzy,manual,,negative,strong,,,adj
dizzing,manual,,negative,strong,,,adj
dizzingly,manual,,negative,strong,,,other
doddering,manual,,negative,strong,,,adj
dodge,manual,,positive,strong,,,adj
dodge,manual,,positive,strong,,,noun
dodgey,manual,,negative,strong,,,adj
dogged,manual,,negative,strong,,,adj
doggedly,manual,,negative,strong,,,other
dogmatic,manual,,negative,strong,,,adj
doldrums,manual,,negative,strong,,,noun
dominance,manual,,negative,average,,,adj
dominance,manual,,negative,average,,,noun
dominant,manual,,neutral,average,,,adj
dominant,manual,,neutral,average,,,noun
dominate,manual,,negative,average,,,verb
domination,manual,,negative,strong,,,adj
domination,manual,,negative,strong,,,noun
